tourney_id,tourney_name,surface,tourney_date,round,best_of,score,tour,retired,total_games,total_sets,total_tiebreaks,player_id,player_name,player_rank,opp_id,opp_name,opp_rank,won_match,games_won,games_lost,sets_won,aces,double_faults,bp_won,bp_faced,bp_saved,bp_faced_opp,svpt,first_in,first_won,second_won,svc_games
2019-580,Australian Open,Hard,2019-01-14,R16,5,6-1 6-1 7-6(5),atp,0,27,3,1,100644,Alexander Zverev,4.0,105683,Milos Raonic,17.0,0,8,19,0,6,10,1,20,14,1,90,56,38,12,13
2019-580,Australian Open,Hard,2019-01-14,R32,5,6-3 6-3 6-2,atp,0,26,3,0,100644,Alexander Zverev,4.0,106109,Alex Bolt,155.0,1,18,8,3,14,4,6,6,5,12,85,55,39,19,13
2019-580,Australian Open,Hard,2019-01-14,R128,5,6-4 6-1 6-4,atp,0,27,3,0,100644,Alexander Zverev,4.0,105379,Aljaz Bedene,67.0,1,18,9,3,11,6,6,3,1,8,77,46,38,14,14
2019-580,Australian Open,Hard,2019-01-14,R64,5,7-6(5) 6-4 5-7 6-7(6) 6-1,atp,0,55,5,2,100644,Alexander Zverev,4.0,104871,Jeremy Chardy,36.0,1,30,25,3,29,13,5,13,10,17,167,116,94,25,27
2019-M-DC-2019-QLS-M-GER-HUN-01,Davis Cup QLS R1: GER vs HUN,Hard,2019-02-01,RR,3,6-2 6-2,atp,0,16,2,0,100644,Alexander Zverev,3.0,105954,Peter Nagy,,1,12,4,2,11,1,4,0,0,13,43,32,27,6,8
2019-M-DC-2019-QLS-M-GER-HUN-01,Davis Cup QLS R1: GER vs HUN,Hard,2019-02-01,RR,3,6-3 6-4,atp,0,19,2,0,100644,Alexander Zverev,3.0,121896,Gabor Borsos,552.0,1,12,7,2,9,2,2,0,0,6,47,35,33,7,10
2019-M004,Acapulco,Hard,2019-02-25,F,3,6-3 6-4,atp,0,19,2,0,100644,Alexander Zverev,3.0,106401,Nick Kyrgios,72.0,0,7,12,0,7,1,1,5,2,8,49,36,26,5,9
2019-M004,Acapulco,Hard,2019-02-25,SF,3,7-6(0) 6-3,atp,0,22,2,1,100644,Alexander Zverev,3.0,111815,Cameron Norrie,64.0,1,13,9,2,10,4,2,3,2,4,62,42,34,13,11
2019-M004,Acapulco,Hard,2019-02-25,QF,3,6-4 6-4,atp,0,20,2,0,100644,Alexander Zverev,3.0,200282,Alex De Minaur,26.0,1,12,8,2,13,1,2,0,0,2,50,32,29,11,10
2019-M004,Acapulco,Hard,2019-02-25,R16,3,7-6(0) 6-1,atp,0,20,2,1,100644,Alexander Zverev,3.0,103970,David Ferrer,145.0,1,13,7,2,9,6,3,4,3,6,62,37,29,15,10
