tourney_id,tourney_name,surface,tourney_date,round,best_of,score,tour,retired,total_games,total_sets,total_tiebreaks,player_id,player_name,player_rank,opp_id,opp_name,opp_rank,won_match,games_won,games_lost,sets_won,aces,double_faults,bp_won,bp_faced,bp_saved,bp_faced_opp,svpt,first_in,first_won,second_won,svc_games
2019-580,Australian Open,Hard,2019-01-14,R128,3,6-0 6-2,wta,0,14,2,0,200033,Serena Williams,16.0,213583,Tatjana Maria,73.0,1,12,2,2,2,0,5,0,0,8,33,17,14,14,7
2019-580,Australian Open,Hard,2019-01-14,R64,3,6-2 6-2,wta,0,16,2,0,200033,Serena Williams,16.0,202446,Eugenie Bouchard,79.0,1,12,4,2,2,1,6,3,1,13,45,26,21,8,8
2019-580,Australian Open,Hard,2019-01-14,R32,3,6-2 6-1,wta,0,15,2,0,200033,Serena Williams,16.0,215035,Dayana Yastremska,57.0,1,12,3,2,8,1,5,0,0,12,38,26,22,6,8
2019-580,Australian Open,Hard,2019-01-14,R16,3,6-1 4-6 6-4,wta,0,27,3,0,200033,Serena Williams,16.0,201594,Simona Halep,1.0,1,16,11,2,9,2,5,7,4,10,89,53,41,15,14
2019-580,Australian Open,Hard,2019-01-14,QF,3,6-4 4-6 7-5,wta,0,32,3,0,200033,Serena Williams,16.0,201662,Karolina Pliskova,8.0,0,15,17,1,12,4,4,11,6,8,99,64,41,16,16
2019-M006,Indian Wells,Hard,2019-03-04,R64,3,7-5 6-3,wta,0,21,2,0,200033,Serena Williams,10.0,201458,Victoria Azarenka,48.0,1,13,8,2,4,9,6,15,11,12,107,59,39,18,11
2019-M006,Indian Wells,Hard,2019-03-04,R32,3,6-3 1-0 RET,wta,1,10,2,0,200033,Serena Williams,10.0,202469,Garbine Muguruza,20.0,0,3,7,0,1,3,1,3,0,2,27,15,10,2,5
2019-M007,Miami,Hard,2019-03-18,R64,3,6-3 1-6 6-1,wta,0,23,3,0,200033,Serena Williams,10.0,202490,Rebecca Peterson,63.0,1,13,10,2,9,2,4,7,4,10,67,36,27,17,12
2019-M009,Rome,Clay,2019-05-13,R64,3,6-4 6-2,wta,0,18,2,0,200033,Serena Williams,11.0,202490,Rebecca Peterson,64.0,1,12,6,2,10,5,4,3,2,10,48,28,23,12,9
2019-520,Roland Garros,Clay,2019-05-27,R128,3,2-6 6-1 6-0,wta,0,21,3,0,200033,Serena Williams,10.0,201554,Vitalia Diatchenko,83.0,1,14,7,2,9,3,5,5,3,11,61,37,28,11,11
2019-520,Roland Garros,Clay,2019-05-27,R64,3,6-3 6-2,wta,0,17,2,0,200033,Serena Williams,10.0,201597,Kurumi Nara,238.0,1,12,5,2,10,0,3,0,0,12,45,33,28,8,9
2019-520,Roland Garros,Clay,2019-05-27,R32,3,6-2 7-5,wta,0,20,2,0,200033,Serena Williams,10.0,213550,Sofia Kenin,35.0,0,7,13,0,10,1,1,11,7,7,64,41,26,9,10
2019-540,Wimbledon,Grass,2019-07-01,R128,3,6-2 7-5,wta,0,20,2,0,200033,Serena Williams,10.0,202579,Giulia Gatto Monticone,161.0,1,13,7,2,7,2,5,4,2,10,55,36,25,11,10
2019-540,Wimbledon,Grass,2019-07-01,R64,3,2-6 6-2 6-4,wta,0,26,3,0,200033,Serena Williams,10.0,215219,Kaja Juvan,133.0,1,14,12,2,6,5,4,3,0,10,72,39,30,17,13
2019-540,Wimbledon,Grass,2019-07-01,R32,3,6-3 6-4,wta,0,19,2,0,200033,Serena Williams,10.0,201504,Julia Goerges,17.0,1,12,7,2,7,0,2,0,0,8,58,41,31,12,10
